,"Dementia care facilities [hospitals]","Total density per 100 000 population: Hospitals","Total density per 100 000 population: Hospitals","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Dementia-specific hospital beds (per 10,000 population)","Geriatric-specific hospital beds (per 10,000 population)","Total dementia hospital admissions (per 100,000)","Estimated percentage of hospitals following national dementia standards"
"Country","2017","2014","2013","2017","2016","2015","2014","2013","2017","2017","2017","2017"
"Afghanistan","","","0.37","3.9","5.0","5.0","5.0","5.3","","","",""
"Albania","","","1.36","","","","","28.9","","","",""
"Algeria","","","","","","19.0","","","","","",""
"Antigua and Barbuda","","","1.11","28.9","30.1","36.1","35.5","36.0","","","",""
"Argentina","","","","49.9","49.5","49.6","48.4","47.8","","","",""
"Armenia","","","4.03","","","","41.6","40.6","","","",""
"Australia","Yes","","","","38.4","38.2","37.9","37.4","Not available","Not available","15109","Not available"
"Austria","Yes","","","73.7","74.2","75.4","75.8","76.4","Not available","Not available","Not available","Not available"
"Azerbaijan","","","7.97","","","","48.2","46.9","","","",""
"Bahamas","","","1.06","29.6","","28.3","27.6","28.5","","","",""
"Bahrain","","","","17.4","18.9","19.5","20.3","20.8","","","",""
"Bangladesh","Yes","","0.17","","7.9","7.7","6.0","","0","20","37","Not available"
"Barbados","","","1.05","59.7","58.9","59.0","59.3","63.4","","","",""
"Belarus","","","7.45","","","","108.3","110.5","","","",""
"Belgium","Yes","","","56.6","57.6","58.3","58.5","59.3","Not available","Not available","Not available","Not available"
"Belize","Yes","","2.11","10.4","12.2","","12.7","8.9","0","0","1","0"
"Benin","","","0.41","","","","","","","","",""
"Bhutan","","","1.72","","","","","","","","",""
"Bolivia (Plurinational State of)","","","1.07","12.9","12.7","11.3","11.5","11.2","","","",""
"Bosnia and Herzegovina","","","1.02","","","","34.9","35.0","","","",""
"Botswana","","","1.29","","","","","","","","",""
"Brazil","Yes","","","20.9","21.1","21.5","22.2","22.5","Not available","1084","5155","Not available"
"Brunei Darussalam","Yes","","1.44","28.5","27.6","27.7","24.3","24.2","0","0","Not available","Not available"
"Bulgaria","","","","74.5","72.7","72.4","71.3","68.2","","","",""
"Burkina Faso","","","0.31","","","","","","","","",""
"Burundi","","","0.50","","","","7.9","","","","",""
"Cabo Verde","","","1.00","","","","","","","","",""
"Cambodia","","","0.57","","9.0","8.0","","7.0","","","",""
"Cameroon","","","0.79","","","","","","","","",""
"Canada","Yes","","2.27","25.3","26.0","26.2","26.7","27.2","Not available","Not available","144003","Not available"
"Central African Republic","","","0.48","","","","","","","","",""
"Chad","","","0.65","","","","","","","","",""
"Chile","Yes","","1.04","21.1","21.2","21.4","21.2","21.7","0","97","1209","Not available"
"China","Yes","","","43.1","40.2","37.9","35.5","32.9","Not available","Not available","Not available","Not available"
"Colombia","","","","17.0","16.8","16.1","15.9","15.4","","","",""
"Comoros","","","0.68","","","","","","","","",""
"Cook Islands","Yes","","","","","","","","0","0","Not available","Not available"
"Costa Rica","","","0.84","11.4","11.5","11.6","11.7","11.8","","","",""
"Côte d'Ivoire","","","1.71","","","","","","","","",""
"Croatia","","","1.54","55.4","54.9","55.6","59.1","58.6","","","",""
"Cuba","","","2.04","53.3","53.2","52.4","51.6","50.5","","","",""
"Cyprus","Yes","","7.54","34.0","34.3","34.2","34.2","34.1","0","0","Not available","Not available"
"Czechia","Yes","","1.29","66.3","66.6","66.7","66.8","67.0","0","405","8452","Not applicable"
"Democratic People's Republic of Korea","","","6.86","","","","","","","","",""
